SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
ANDAMAN & NICOBAR ISLANDS,1901,49.20,87.10,29.20,2.30,528.80,517.50,365.10,481.10,332.60,388.50,558.20,33.60,3373.20,136.30,560.30,1696.30,980.30
ANDAMAN & NICOBAR ISLANDS,1902,0.00,159.80,12.20,0.00,446.10,537.10,228.90,753.70,666.20,197.20,359.00,160.50,3520.70,159.80,458.30,2185.90,716.70
ANDAMAN & NICOBAR ISLANDS,1903,12.70,144.00,0.00,1.00,235.10,479.90,728.40,326.70,339.00,181.20,284.40,225.00,2957.40,156.70,236.10,1874.00,690.60
ANDAMAN & NICOBAR ISLANDS,1904,9.40,14.70,0.00,202.40,304.50,495.10,502.00,160.10,820.40,222.20,308.70,40.10,3079.60,24.10,506.90,1977.60,571.00
ANDAMAN & NICOBAR ISLANDS,1905,1.30,0.00,3.30,26.90,279.50,628.70,368.70,330.50,297.00,260.70,25.40,344.70,2566.70,1.30,309.70,1624.90,630.80
ANDAMAN & NICOBAR ISLANDS,1906,36.60,0.00,0.00,0.00,556.10,733.30,247.70,320.50,164.30,267.80,128.90,79.20,2534.40,36.60,556.10,1465.80,475.90
